GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC07,HC02_VC07,HC03_VC07,HC04_VC07,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC21,HC02_VC21,HC03_VC21,HC04_VC21,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC24,HC02_VC24,HC03_VC24,HC04_VC24,HC01_VC25,HC02_VC25,HC03_VC25,HC04_VC25,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC30,HC02_VC30,HC03_VC30,HC04_VC30,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC40,HC02_VC40,HC03_VC40,HC04_VC40,HC01_VC42,HC02_VC42,HC03_VC42,HC04_VC42,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC46,HC02_VC46,HC03_VC46,HC04_VC46,HC01_VC47,HC02_VC47,HC03_VC47,HC04_VC47,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC76,HC02_VC76,HC03_VC76,HC04_VC76,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98
1400000US51013100100,51013100100,"Census Tract 1001, Arlington County, Virginia",4844,260,4844,(X),2311,221,47.7,3.3,2533,185,52.3,3.3,216,71,4.5,1.5,497,139,10.3,2.7,424,106,8.8,2.0,235,75,4.9,1.6,234,107,4.8,2.1,427,133,8.8,2.6,828,154,17.1,2.8,734,143,15.2,3.1,411,94,8.5,2.0,354,98,7.3,2.1,266,72,5.5,1.5,144,54,3.0,1.1,74,46,1.5,1.0,40.2,2.2,(X),(X),3514,187,72.5,2.7,3462,188,71.5,2.7,697,107,14.4,2.5,484,76,10.0,1.7,3514,187,3514,(X),1674,189,47.6,3.5,1840,100,52.4,3.5,484,76,484,(X),204,56,42.1,8.8,280,58,57.9,8.8,4844,260,4844,(X),4725,256,97.5,1.8,119,89,2.5,1.8,4725,256,97.5,1.8,4118,293,85.0,5.4,91,96,1.9,2.0,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,492,230,10.2,4.6,0,12,0.0,0.7,81,47,1.7,1.0,0,12,0.0,0.7,5,8,0.1,0.2,109,151,2.3,3.1,229,191,4.7,3.9,68,67,1.4,1.4,11,18,0.2,0.4,0,12,0.0,0.7,11,18,0.2,0.4,0,12,0.0,0.7,0,12,0.0,0.7,13,19,0.3,0.4,119,89,2.5,1.8,0,12,0.0,0.7,7,13,0.1,0.3,66,59,1.4,1.2,0,12,0.0,0.7,4844,260,4844,(X),4222,283,87.2,5.0,91,96,1.9,2.0,7,13,0.1,0.3,573,235,11.8,4.7,26,32,0.5,0.7,44,68,0.9,1.4,4844,260,4844,(X),102,68,2.1,1.4,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,102,68,2.1,1.4,4742,262,97.9,1.4,4027,296,83.1,5.6,91,96,1.9,2.0,0,12,0.0,0.7,492,230,10.2,4.6,0,12,0.0,0.7,13,19,0.3,0.4,119,89,2.5,1.8,31,49,0.6,1.0,88,72,1.8,1.5,1710,37,(X),(X)
1400000US51013100200,51013100200,"Census Tract 1002, Arlington County, Virginia",6618,419,6618,(X),2994,286,45.2,4.0,3624,384,54.8,4.0,496,143,7.5,2.0,605,143,9.1,2.1,529,144,8.0,2.1,436,122,6.6,1.8,209,121,3.2,1.7,605,305,9.1,4.4,991,186,15.0,2.7,1097,179,16.6,2.8,414,124,6.3,2.0,275,108,4.2,1.6,557,142,8.4,2.3,328,114,5.0,1.7,76,72,1.1,1.1,39.1,2.7,(X),(X),4677,353,70.7,3.1,4518,338,68.3,3.1,1046,137,15.8,2.3,961,129,14.5,2.2,4677,353,4677,(X),2058,179,44.0,4.4,2619,353,56.0,4.4,961,129,961,(X),416,79,43.3,8.1,545,122,56.7,8.1,6618,419,6618,(X),6229,418,94.1,2.5,389,166,5.9,2.5,6229,418,94.1,2.5,5753,354,86.9,3.8,118,111,1.8,1.6,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,335,192,5.1,2.8,18,39,0.3,0.6,84,55,1.3,0.9,31,33,0.5,0.5,10,16,0.2,0.2,42,42,0.6,0.6,16,21,0.2,0.3,134,186,2.0,2.8,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,0,17,0.0,0.5,23,36,0.3,0.6,389,166,5.9,2.5,60,52,0.9,0.8,42,58,0.6,0.9,269,140,4.1,2.1,0,17,0.0,0.5,6618,419,6618,(X),6142,360,92.8,3.2,178,116,2.7,1.7,42,58,0.6,0.9,604,241,9.1,3.4,18,27,0.3,0.4,23,36,0.3,0.6,6618,419,6618,(X),210,143,3.2,2.1,16,27,0.2,0.4,0,17,0.0,0.5,0,17,0.0,0.5,194,142,2.9,2.1,6408,416,96.8,2.1,5575,343,84.2,4.0,118,111,1.8,1.6,0,17,0.0,0.5,335,192,5.1,2.8,0,17,0.0,0.5,23,36,0.3,0.6,357,150,5.4,2.2,0,17,0.0,0.5,357,150,5.4,2.2,2230,52,(X),(X)
1400000US51013100300,51013100300,"Census Tract 1003, Arlington County, Virginia",6150,320,6150,(X),2865,220,46.6,2.9,3285,256,53.4,2.9,339,108,5.5,1.7,340,96,5.5,1.6,409,137,6.7,2.2,825,215,13.4,3.2,371,122,6.0,1.9,334,138,5.4,2.2,718,130,11.7,2.1,827,149,13.4,2.3,603,144,9.8,2.4,487,136,7.9,2.2,441,134,7.2,2.2,322,105,5.2,1.8,134,75,2.2,1.2,41.5,2.1,(X),(X),4691,287,76.3,2.2,4151,227,67.5,3.1,1199,136,19.5,2.3,897,96,14.6,1.6,4691,287,4691,(X),2157,195,46.0,3.1,2534,215,54.0,3.1,897,96,897,(X),392,80,43.7,6.7,505,71,56.3,6.7,6150,320,6150,(X),5983,301,97.3,1.4,167,86,2.7,1.4,5983,301,97.3,1.4,5451,274,88.6,3.5,160,73,2.6,1.1,0,17,0.0,0.6,0,17,0.0,0.6,0,17,0.0,0.6,0,17,0.0,0.6,0,17,0.0,0.6,253,134,4.1,2.1,53,64,0.9,1.0,16,20,0.3,0.3,15,22,0.2,0.4,0,17,0.0,0.6,155,108,2.5,1.7,14,22,0.2,0.4,0,17,0.0,0.6,15,25,0.2,0.4,15,25,0.2,0.4,0,17,0.0,0.6,0,17,0.0,0.6,0,17,0.0,0.6,104,92,1.7,1.5,167,86,2.7,1.4,10,19,0.2,0.3,0,17,0.0,0.6,140,80,2.3,1.3,0,17,0.0,0.6,6150,320,6150,(X),5618,276,91.3,2.9,170,73,2.8,1.1,0,17,0.0,0.6,393,186,6.4,2.9,15,25,0.2,0.4,121,97,2.0,1.5,6150,320,6150,(X),293,160,4.8,2.5,61,59,1.0,1.0,63,72,1.0,1.2,0,17,0.0,0.6,169,123,2.7,1.9,5857,284,95.2,2.5,5322,292,86.5,4.2,145,66,2.4,1.0,0,17,0.0,0.6,224,124,3.6,2.0,15,25,0.2,0.4,31,46,0.5,0.7,120,72,2.0,1.2,0,17,0.0,0.6,120,72,2.0,1.2,2119,49,(X),(X)
1400000US51013100400,51013100400,"Census Tract 1004, Arlington County, Virginia",3689,247,3689,(X),1789,135,48.5,2.6,1900,175,51.5,2.6,261,96,7.1,2.4,353,83,9.6,2.0,209,70,5.7,2.0,188,85,5.1,2.2,164,67,4.4,1.8,54,38,1.5,1.0,443,113,12.0,2.7,746,130,20.2,3.6,353,126,9.6,3.5,252,88,6.8,2.3,341,83,9.2,2.3,142,72,3.8,2.0,183,75,5.0,2.0,47.1,1.4,(X),(X),2691,156,72.9,2.9,2650,151,71.8,2.7,823,111,22.3,3.1,666,70,18.1,2.2,2691,156,2691,(X),1266,93,47.0,2.6,1425,118,53.0,2.6,666,70,666,(X),331,66,49.7,8.1,335,63,50.3,8.1,3689,247,3689,(X),3645,232,98.8,1.1,44,42,1.2,1.1,3645,232,98.8,1.1,3450,262,93.5,3.2,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,161,96,4.4,2.7,13,19,0.4,0.5,67,68,1.8,1.9,42,51,1.1,1.4,39,33,1.1,0.9,0,12,0.0,0.9,0,12,0.0,0.9,0,12,0.0,0.9,18,29,0.5,0.8,0,12,0.0,0.9,0,12,0.0,0.9,18,29,0.5,0.8,0,12,0.0,0.9,16,23,0.4,0.6,44,42,1.2,1.1,0,12,0.0,0.9,0,12,0.0,0.9,44,42,1.2,1.1,0,12,0.0,0.9,3689,247,3689,(X),3494,272,94.7,2.8,0,12,0.0,0.9,0,12,0.0,0.9,205,114,5.6,3.1,18,29,0.5,0.8,16,23,0.4,0.6,3689,247,3689,(X),199,122,5.4,3.3,29,28,0.8,0.8,23,35,0.6,0.9,0,12,0.0,0.9,147,118,4.0,3.2,3490,258,94.6,3.3,3276,265,88.8,4.2,0,12,0.0,0.9,0,12,0.0,0.9,161,96,4.4,2.7,7,11,0.2,0.3,2,4,0.1,0.1,44,42,1.2,1.1,0,12,0.0,0.9,44,42,1.2,1.1,1317,28,(X),(X)
1400000US51013100500,51013100500,"Census Tract 1005, Arlington County, Virginia",4846,392,4846,(X),2432,278,50.2,3.5,2414,238,49.8,3.5,355,147,7.3,2.8,494,164,10.2,3.1,291,92,6.0,1.9,220,73,4.5,1.5,263,81,5.4,1.7,678,170,14.0,3.0,871,157,18.0,2.7,672,133,13.9,2.7,328,85,6.8,1.9,295,75,6.1,1.7,206,73,4.3,1.5,119,47,2.5,1.0,54,31,1.1,0.7,36.0,1.7,(X),(X),3540,284,73.0,3.7,3433,274,70.8,3.8,565,97,11.7,2.3,379,78,7.8,1.8,3540,284,3540,(X),1850,264,52.3,4.4,1690,145,47.7,4.4,379,78,379,(X),168,53,44.3,9.6,211,52,55.7,9.6,4846,392,4846,(X),4670,376,96.4,2.1,176,104,3.6,2.1,4670,376,96.4,2.1,4075,254,84.1,7.8,6,12,0.1,0.2,22,25,0.5,0.5,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,7,11,0.1,0.2,144,85,3.0,1.8,0,12,0.0,0.7,4,8,0.1,0.2,33,36,0.7,0.8,0,12,0.0,0.7,49,55,1.0,1.2,23,37,0.5,0.8,35,53,0.7,1.1,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,423,398,8.7,7.7,176,104,3.6,2.1,0,12,0.0,0.7,9,14,0.2,0.3,153,102,3.2,2.1,0,12,0.0,0.7,4846,392,4846,(X),4251,251,87.7,7.4,6,12,0.1,0.2,31,29,0.6,0.6,297,155,6.1,3.1,0,12,0.0,0.7,437,400,9.0,7.7,4846,392,4846,(X),673,430,13.9,8.2,14,21,0.3,0.4,0,12,0.0,0.7,51,77,1.1,1.6,608,397,12.5,7.5,4173,324,86.1,8.2,3868,288,79.8,7.7,6,12,0.1,0.2,22,25,0.5,0.5,144,85,3.0,1.8,0,12,0.0,0.7,5,8,0.1,0.2,128,117,2.6,2.4,0,12,0.0,0.7,128,117,2.6,2.4,1681,35,(X),(X)
1400000US51013100600,51013100600,"Census Tract 1006, Arlington County, Virginia",3258,260,3258,(X),1679,169,51.5,4.7,1579,226,48.5,4.7,201,84,6.2,2.6,162,78,5.0,2.3,194,90,6.0,2.8,89,48,2.7,1.5,126,83,3.9,2.5,541,237,16.6,7.0,571,161,17.5,4.8,541,111,16.6,3.6,214,94,6.6,3.0,201,84,6.2,2.5,240,69,7.4,2.1,126,100,3.9,2.9,52,40,1.6,1.2,40.5,2.2,(X),(X),2622,248,80.5,2.9,2579,236,79.2,3.0,552,176,16.9,4.8,418,134,12.8,3.7,2622,248,2622,(X),1301,160,49.6,4.6,1321,185,50.4,4.6,418,134,418,(X),192,41,45.9,12.7,226,118,54.1,12.7,3258,260,3258,(X),3146,269,96.6,2.9,112,95,3.4,2.9,3146,269,96.6,2.9,2567,325,78.8,9.3,178,95,5.5,2.7,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,211,138,6.5,4.2,71,106,2.2,3.3,0,12,0.0,1.1,55,82,1.7,2.5,12,20,0.4,0.6,22,28,0.7,0.9,13,17,0.4,0.5,38,57,1.2,1.8,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,190,216,5.8,6.6,112,95,3.4,2.9,19,39,0.6,1.2,11,17,0.3,0.5,42,47,1.3,1.4,0,12,0.0,1.1,3258,260,3258,(X),2679,306,82.2,8.6,197,112,6.0,3.3,11,17,0.3,0.5,253,167,7.8,5.1,0,12,0.0,1.1,230,233,7.1,7.1,3258,260,3258,(X),331,203,10.2,6.0,89,114,2.7,3.5,9,15,0.3,0.4,0,12,0.0,1.1,233,213,7.2,6.4,2927,280,89.8,6.0,2426,291,74.5,8.2,178,95,5.5,2.7,0,12,0.0,1.1,211,138,6.5,4.2,0,12,0.0,1.1,0,12,0.0,1.1,112,95,3.4,2.9,40,68,1.2,2.1,72,64,2.2,1.9,1352,37,(X),(X)
1400000US51013100700,51013100700,"Census Tract 1007, Arlington County, Virginia",4887,483,4887,(X),2129,241,43.6,3.8,2758,366,56.4,3.8,682,169,14.0,2.8,284,156,5.8,3.0,118,82,2.4,1.7,94,82,1.9,1.6,251,131,5.1,2.4,921,204,18.8,4.3,805,150,16.5,2.5,621,183,12.7,3.9,299,113,6.1,2.2,358,125,7.3,2.5,235,85,4.8,1.8,141,72,2.9,1.4,78,50,1.6,1.1,35.5,1.7,(X),(X),3741,316,76.6,3.8,3709,308,75.9,4.1,689,143,14.1,3.0,454,95,9.3,2.0,3741,316,3741,(X),1666,199,44.5,3.9,2075,232,55.5,3.9,454,95,454,(X),169,58,37.2,10.1,285,77,62.8,10.1,4887,483,4887,(X),4534,491,92.8,2.8,353,135,7.2,2.8,4534,491,92.8,2.8,3491,308,71.4,6.9,274,124,5.6,2.5,135,113,2.8,2.3,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,343,180,7.0,3.6,0,12,0.0,0.7,14,26,0.3,0.5,39,45,0.8,0.9,55,51,1.1,1.0,65,67,1.3,1.4,64,56,1.3,1.1,106,166,2.2,3.4,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,0,12,0.0,0.7,291,376,6.0,7.4,353,135,7.2,2.8,0,12,0.0,0.7,34,53,0.7,1.1,153,103,3.1,2.1,0,12,0.0,0.7,4887,483,4887,(X),3731,329,76.3,7.5,325,155,6.7,3.1,169,124,3.5,2.5,609,191,12.5,3.9,62,75,1.3,1.5,344,366,7.0,7.1,4887,483,4887,(X),611,319,12.5,5.7,74,80,1.5,1.6,16,31,0.3,0.6,65,80,1.3,1.7,456,326,9.3,6.1,4276,332,87.5,5.7,3320,279,67.9,6.2,274,124,5.6,2.5,0,12,0.0,0.7,343,180,7.0,3.6,0,12,0.0,0.7,73,89,1.5,1.7,266,109,5.4,2.3,0,12,0.0,0.7,266,109,5.4,2.3,2275,82,(X),(X)
1400000US51013100800,51013100800,"Census Tract 1008, Arlington County, Virginia",1609,226,1609,(X),900,152,55.9,5.0,709,126,44.1,5.0,120,65,7.5,4.0,89,61,5.5,3.3,86,46,5.3,2.4,171,71,10.6,3.6,125,72,7.8,4.7,257,101,16.0,5.4,167,62,10.4,3.7,203,61,12.6,3.7,131,63,8.1,3.8,85,38,5.3,2.4,75,47,4.7,3.0,53,33,3.3,2.0,47,32,2.9,2.0,32.7,4.2,(X),(X),1208,156,75.1,6.2,1135,137,70.5,6.6,225,59,14.0,3.8,175,43,10.9,2.9,1208,156,1208,(X),671,130,55.5,6.2,537,86,44.5,6.2,175,43,175,(X),74,37,42.3,15.0,101,31,57.7,15.0,1609,226,1609,(X),1411,185,87.7,6.3,198,114,12.3,6.3,1411,185,87.7,6.3,751,210,46.7,10.4,315,134,19.6,8.1,8,13,0.5,0.8,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,0,12,0.0,2.1,115,56,7.1,3.5,0,12,0.0,2.1,12,18,0.7,1.1,31,39,1.9,2.4,0,12,0.0,2.1,21,26,1.3,1.6,0,12,0.0,2.1,51,48,3.2,3.1,13,13,0.8,0.8,0,12,0.0,2.1,0,12,0.0,2.1,13,13,0.8,0.8,0,12,0.0,2.1,209,137,13.0,8.7,198,114,12.3,6.3,0,12,0.0,2.1,4,7,0.2,0.4,56,60,3.5,3.7,6,9,0.4,0.6,1609,226,1609,(X),935,248,58.1,10.5,321,134,20.0,8.0,18,23,1.1,1.4,179,92,11.1,5.6,54,54,3.4,3.3,300,166,18.6,10.0,1609,226,1609,(X),526,236,32.7,12.7,49,42,3.0,2.7,16,23,1.0,1.4,0,12,0.0,2.1,461,237,28.7,12.8,1083,220,67.3,12.7,531,141,33.0,8.5,315,134,19.6,8.1,0,12,0.0,2.1,104,54,6.5,3.4,13,13,0.8,0.8,11,21,0.7,1.2,109,72,6.8,4.4,8,14,0.5,0.8,101,71,6.3,4.3,537,40,(X),(X)
1400000US51013100900,51013100900,"Census Tract 1009, Arlington County, Virginia",4421,385,4421,(X),2131,273,48.2,3.7,2290,232,51.8,3.7,361,103,8.2,2.3,296,73,6.7,1.7,281,109,6.4,2.3,197,82,4.5,1.8,282,116,6.4,2.3,594,141,13.4,3.2,732,100,16.6,2.2,661,194,15.0,3.8,216,76,4.9,1.6,334,86,7.6,2.2,334,83,7.6,2.0,57,35,1.3,0.8,76,59,1.7,1.3,38.6,2.3,(X),(X),3352,308,75.8,2.6,3220,289,72.8,3.1,694,115,15.7,3.0,467,97,10.6,2.3,3352,308,3352,(X),1587,230,47.3,3.7,1765,158,52.7,3.7,467,97,467,(X),220,50,47.1,8.5,247,74,52.9,8.5,4421,385,4421,(X),4354,389,98.5,1.3,67,59,1.5,1.3,4354,389,98.5,1.3,3424,385,77.4,7.8,98,102,2.2,2.4,10,16,0.2,0.4,0,12,0.0,0.8,0,12,0.0,0.8,0,12,0.0,0.8,0,12,0.0,0.8,351,198,7.9,4.4,96,128,2.2,2.9,75,74,1.7,1.7,95,117,2.1,2.6,10,16,0.2,0.4,21,21,0.5,0.5,54,69,1.2,1.6,0,12,0.0,0.8,0,12,0.0,0.8,0,12,0.0,0.8,0,12,0.0,0.8,0,12,0.0,0.8,0,12,0.0,0.8,471,320,10.7,6.8,67,59,1.5,1.3,0,12,0.0,0.8,0,12,0.0,0.8,22,28,0.5,0.6,0,12,0.0,0.8,4421,385,4421,(X),3491,383,79.0,7.8,98,102,2.2,2.4,10,16,0.2,0.4,373,202,8.4,4.5,0,12,0.0,0.8,516,328,11.7,7.0,4421,385,4421,(X),555,325,12.6,6.9,0,12,0.0,0.8,37,51,0.8,1.1,11,18,0.2,0.4,507,319,11.5,6.8,3866,348,87.4,6.9,3319,377,75.1,7.7,97,101,2.2,2.3,10,16,0.2,0.4,351,198,7.9,4.4,0,12,0.0,0.8,48,53,1.1,1.2,41,42,0.9,0.9,19,30,0.4,0.7,22,28,0.5,0.6,1752,56,(X),(X)
1400000US51013101000,51013101000,"Census Tract 1010, Arlington County, Virginia",3146,188,3146,(X),1536,134,48.8,3.8,1610,170,51.2,3.8,220,84,7.0,2.6,246,89,7.8,2.7,193,81,6.1,2.6,179,75,5.7,2.4,128,74,4.1,2.3,362,125,11.5,3.8,659,114,20.9,3.7,542,143,17.2,4.5,179,74,5.7,2.4,216,91,6.9,2.8,138,54,4.4,1.7,72,40,2.3,1.3,12,20,0.4,0.6,39.3,2.9,(X),(X),2366,168,75.2,3.1,2262,165,71.9,3.5,351,112,11.2,3.4,222,72,7.1,2.3,2366,168,2366,(X),1102,105,46.6,3.3,1264,124,53.4,3.3,222,72,222,(X),128,49,57.7,12.2,94,42,42.3,12.2,3146,188,3146,(X),3038,196,96.6,2.9,108,91,3.4,2.9,3038,196,96.6,2.9,2475,294,78.7,9.0,219,114,7.0,3.6,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,251,202,8.0,6.4,13,20,0.4,0.6,38,50,1.2,1.6,7,11,0.2,0.4,7,11,0.2,0.3,52,66,1.7,2.1,0,12,0.0,1.1,134,182,4.3,5.8,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,0,12,0.0,1.1,93,101,3.0,3.2,108,91,3.4,2.9,22,31,0.7,1.0,0,12,0.0,1.1,48,57,1.5,1.8,0,12,0.0,1.1,3146,188,3146,(X),2573,281,81.8,8.4,241,122,7.7,3.8,0,12,0.0,1.1,337,228,10.7,7.2,28,43,0.9,1.3,103,103,3.3,3.2,3146,188,3146,(X),316,178,10.0,5.6,93,102,3.0,3.2,0,12,0.0,1.1,0,12,0.0,1.1,223,138,7.1,4.4,2830,234,90.0,5.6,2288,281,72.7,8.6,202,115,6.4,3.6,0,12,0.0,1.1,251,202,8.0,6.4,0,12,0.0,1.1,3,5,0.1,0.2,86,84,2.7,2.7,10,18,0.3,0.6,76,72,2.4,2.3,1269,54,(X),(X)
