GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30
1400000US51013100100,51013100100,"Census Tract 1001, Arlington County, Virginia",1217,98,677,83,1099,109,612,83,60.3,7.1,71.6,10.8,24.9,6.9,26.8,10.3,6.1,4.0,1.6,2.7,8.6,3.9,0.0,5.6,118,57,65,42,92.4,11.9,86.2,21.3,74.6,21.4,86.2,21.3,17.8,18.6,0.0,38.2,7.6,11.9,13.8,21.3,7.6,11.9,13.8,21.3,0.0,25.2,0.0,38.2,1217,98,677,83,5.6,3.5,0.0,5.0,26.6,6.0,27.9,9.7,67.8,5.7,72.1,9.7,1099,109,612,83,71.0,6.7,87.6,6.6,38.5,6.9,43.6,11.4,14.4,5.9,8.0,5.1,1.6,1.9,0.0,5.6,14.6,5.0,4.4,4.3,7.0,4.0,0.0,5.6
1400000US51013100200,51013100200,"Census Tract 1002, Arlington County, Virginia",1695,124,954,116,1472,134,825,112,58.6,7.2,59.0,10.4,25.5,6.7,37.9,10.4,4.5,3.6,1.7,2.7,11.3,4.7,1.3,2.1,223,83,129,64,54.3,19.9,38.0,26.3,22.0,17.9,26.4,23.7,32.3,22.3,11.6,19.6,45.7,19.9,62.0,26.3,35.9,16.8,62.0,26.3,9.9,13.9,0.0,23.5,1695,124,954,116,12.3,4.9,2.7,3.2,21.0,5.4,28.9,8.4,66.7,6.3,68.3,8.2,1472,134,825,112,64.7,8.0,79.2,9.2,26.6,7.1,28.1,9.8,20.6,7.5,17.5,8.0,5.1,3.5,4.4,4.4,14.7,5.6,3.4,3.8,10.3,4.7,1.3,2.1
1400000US51013100300,51013100300,"Census Tract 1003, Arlington County, Virginia",1621,106,772,85,1537,103,718,93,53.5,7.3,64.2,12.3,27.7,7.7,34.5,12.4,6.4,3.7,0.0,4.8,12.4,4.2,1.3,2.2,84,65,54,53,78.6,33.0,100.0,41.9,64.3,39.3,100.0,41.9,14.3,27.7,0.0,41.9,21.4,33.0,0.0,41.9,0.0,32.7,0.0,41.9,21.4,33.0,0.0,41.9,1621,106,772,85,9.9,4.4,0.0,4.4,36.0,8.6,38.3,11.6,54.2,7.5,61.7,11.6,1537,103,718,93,60.8,8.3,76.5,12.1,28.3,7.2,32.6,11.3,19.3,7.1,17.5,10.5,8.0,4.8,8.6,7.9,20.0,5.8,6.0,5.4,10.1,4.2,0.0,4.8
1400000US51013100400,51013100400,"Census Tract 1004, Arlington County, Virginia",1047,68,497,75,950,87,497,75,55.7,7.5,69.8,10.0,23.7,7.2,30.2,10.0,4.4,3.4,0.0,6.8,16.2,5.5,0.0,6.8,97,61,0,12,79.4,23.1,-,**,28.9,27.2,-,**,50.5,35.7,-,**,20.6,23.1,-,**,0.0,29.4,-,**,20.6,23.1,-,**,1047,68,497,75,12.5,4.6,0.0,6.8,31.0,7.1,29.8,10.1,56.4,7.4,70.2,10.1,950,87,497,75,64.4,7.3,76.3,9.4,40.4,7.5,46.1,10.8,17.8,6.3,22.5,9.4,1.8,1.8,3.4,3.5,17.8,5.1,1.2,2.2,14.0,5.1,0.0,6.8
1400000US51013100500,51013100500,"Census Tract 1005, Arlington County, Virginia",1139,97,652,86,992,96,593,83,56.6,10.7,62.2,15.6,28.1,10.5,32.7,15.2,5.1,3.2,1.5,2.2,10.2,4.3,3.5,4.1,147,69,59,43,39.5,19.9,54.2,29.8,28.6,19.3,27.1,29.7,10.9,12.6,27.1,25.6,60.5,19.9,45.8,29.8,54.4,20.0,45.8,29.8,6.1,10.9,0.0,40.1,1139,97,652,86,7.6,4.1,3.2,4.5,28.0,9.7,34.8,14.3,64.4,9.8,62.0,14.4,992,96,593,83,63.9,9.1,75.9,12.3,38.7,8.9,41.3,12.7,14.4,6.5,11.3,7.9,3.8,2.7,2.7,3.1,21.7,7.6,12.8,11.5,8.8,3.8,3.5,4.1
1400000US51013100600,51013100600,"Census Tract 1006, Arlington County, Virginia",688,77,345,68,582,87,306,63,56.9,11.0,53.9,17.1,32.5,11.0,41.8,17.1,7.2,4.8,4.2,6.3,3.4,3.5,0.0,10.8,106,62,39,36,90.6,16.2,100.0,49.3,69.8,30.8,100.0,49.3,20.8,28.7,0.0,49.3,9.4,16.2,0.0,49.3,0.0,27.5,0.0,49.3,9.4,16.2,0.0,49.3,688,77,345,68,6.1,5.6,0.0,9.6,37.8,11.0,45.5,17.3,56.1,11.1,54.5,17.3,582,87,306,63,72.9,10.4,82.7,13.4,33.2,12.2,29.7,15.2,14.8,8.8,11.1,11.9,2.4,3.7,0.0,10.8,12.4,6.1,6.2,7.3,3.4,3.5,0.0,10.8
1400000US51013100700,51013100700,"Census Tract 1007, Arlington County, Virginia",1179,168,654,129,1032,167,598,134,57.5,12.1,55.4,17.7,28.1,11.6,44.6,17.7,4.3,3.5,0.0,5.7,10.2,6.4,0.0,5.7,147,79,56,54,51.7,26.3,75.0,37.5,36.7,23.9,75.0,37.5,15.0,17.6,0.0,41.1,48.3,26.3,25.0,37.5,14.3,16.0,25.0,37.5,34.0,22.8,0.0,41.1,1179,168,654,129,8.5,5.6,0.0,5.2,43.9,12.4,48.3,16.6,47.7,11.7,51.7,16.6,1032,167,598,134,61.0,11.3,73.1,15.3,27.2,11.6,26.3,14.5,10.0,6.6,9.4,8.6,2.3,2.4,0.0,5.7,29.0,10.6,17.6,12.2,10.2,6.4,0.0,5.7
1400000US51013100800,51013100800,"Census Tract 1008, Arlington County, Virginia",354,56,161,51,245,54,98,37,45.7,15.6,51.0,21.5,31.8,15.8,49.0,21.5,15.1,14.8,0.0,29.2,7.3,7.7,0.0,29.2,109,43,63,39,77.1,18.2,87.3,17.5,59.6,22.8,87.3,17.5,17.4,16.4,0.0,38.8,22.9,18.2,12.7,17.5,19.3,16.7,12.7,17.5,3.7,8.2,0.0,38.8,354,56,161,51,7.6,6.6,0.0,19.4,33.9,12.1,42.9,14.4,58.5,11.6,57.1,14.4,245,54,98,37,49.4,16.2,73.5,15.5,19.2,11.7,18.4,16.5,20.8,14.7,26.5,15.5,8.2,8.5,20.4,18.5,29.8,13.7,0.0,29.2,7.3,7.7,0.0,29.2
1400000US51013100900,51013100900,"Census Tract 1009, Arlington County, Virginia",1136,114,565,96,950,95,434,72,60.7,8.2,63.8,13.0,22.6,7.6,33.6,12.7,8.7,4.5,2.5,3.8,7.9,4.4,0.0,7.7,186,88,131,79,81.7,16.2,79.4,21.4,77.4,17.6,73.3,23.5,4.3,6.5,6.1,9.4,18.3,16.2,20.6,21.4,18.3,16.2,20.6,21.4,0.0,17.1,0.0,23.2,1136,114,565,96,5.1,3.2,1.4,2.0,34.6,7.4,44.6,11.7,60.3,7.3,54.0,11.6,950,95,434,72,58.4,6.9,60.1,12.7,34.3,7.0,27.6,10.9,24.0,8.2,29.7,13.3,7.2,4.9,6.0,6.5,17.6,6.5,10.1,7.7,5.3,3.4,0.0,7.7
1400000US51013101000,51013101000,"Census Tract 1010, Arlington County, Virginia",920,94,529,80,755,86,468,62,67.7,11.0,72.9,15.5,21.6,10.3,27.1,15.5,2.9,2.6,0.0,7.2,7.8,4.9,0.0,7.2,165,73,61,53,80.0,20.9,100.0,39.4,80.0,20.9,100.0,39.4,0.0,19.0,0.0,39.4,20.0,20.9,0.0,39.4,20.0,20.9,0.0,39.4,0.0,19.0,0.0,39.4,920,94,529,80,3.2,2.9,0.0,6.4,26.3,9.8,26.3,14.9,70.5,10.4,73.7,14.9,755,86,468,62,64.5,11.2,70.9,12.4,30.1,10.3,37.8,14.1,16.2,7.7,17.9,10.2,5.3,4.7,8.5,7.4,19.3,9.0,11.1,10.9,3.8,3.5,0.0,7.2
