Name,Counter ID,Model,Population,CycleComm,CycleCommM,CycleCommF,InLaborForce,NotInLaborForce,TotalInc,HousingUnits,UnitsOcc,UnitsVac,OwnerOcc,RenterOcc,MovedIn2010-12,MovedIn2000-09,Vehicles0,Vehicles1,Households,NumStudents3up,Hsgrad,Bachelor,Master,Foreign,Noncitizen,IncomePerCap,MeanHousInc
Key Bridge East,9,Eco-Counter Multi,8517.401861,121.8242452,102.3452507,19.47899447,5462.801533,2425.185789,622866520.6,4524.532992,3772.996823,751.5361688,1674.762086,2098.234738,669.7758348,2378.194726,804.2983568,1959.927641,3772.996823,2459.870604,244.1535377,2253.552207,2833.029231,1563.680847,983.1913289,73128.69943,165085.3552
Key Bridge West,8,Eco-Counter Multi,8543.899538,121.1907979,101.5737528,19.61704503,5435.84722,2484.112044,618526032.6,4482.109178,3742.292381,739.8167975,1668.156626,2074.135755,661.3826464,2356.19068,787.5668371,1947.272374,3742.292381,2538.669509,236.8734636,2234.946904,2816.766175,1541.945363,968.6586115,72393.87938,165279.9861
Custis Rosslyn,1,Eco-Counter Combo,10260.96841,125.1754766,106.6112237,18.56425287,7629.496206,1733.359274,723235679.5,6321.442787,5245.41737,1076.025417,1960.973422,3284.443948,964.3666367,3514.621129,867.6132646,2887.199196,5245.41737,1739.795115,468.1596601,3138.950206,3889.256633,2192.84842,1153.640449,70484.15421,137879.5296
W&OD East Falls Church,5,Eco-Counter Multi,4519.627866,22.12153229,14.87995259,7.241579705,2665.810332,901.6584223,295827819.2,1893.002285,1738.68461,154.3176752,1328.384338,410.300272,208.9130883,760.4093462,74.13159525,565.6604405,1738.68461,1192.667987,279.2145888,1032.944592,1489.344228,654.8070884,280.6379339,65454.02143,170144.6125
W&OD Bon Air East,7,Eco-Counter Multi,5262.536338,56.0458924,32.33403481,23.71185759,3064.524194,998.2686436,296816540.4,1971.194445,1865.878413,105.3160314,1357.475855,508.402558,177.1442239,922.2007629,115.0375354,571.5123498,1865.878413,1433.383135,376.8584517,1226.448469,1308.429983,878.0915151,527.5734375,56401.80349,159076.0353
Custis Bon Air,6,Eco-Counter Multi,5284.277142,55.32703413,31.58774207,23.73929206,3079.334864,1003.424496,299079178.6,1986.598189,1880.881395,105.716794,1364.35368,516.5277154,182.2440134,928.1792602,115.1118801,576.6687303,1880.881395,1436.952433,377.0039138,1232.63466,1319.203749,883.6302512,531.4192264,56597.93583,159010.1212
W&OD Columbia Pike,14,Eco-Counter Multi,12001.8674,68.99343712,44.64151427,24.35192286,7982.16216,1883.443732,370263376,5320.234583,4717.80793,602.4266528,1785.172647,2932.635283,627.8967899,3173.384174,638.4974637,2410.088856,4717.80793,3120.942119,1494.482504,2249.134869,1390.810964,5583.731705,3387.494347,30850.48047,78482.07928
Four Mile Run (pyro),2,Eco-Counter PyroBox,7843.008616,52.87546337,24.49169025,28.38377312,5542.517864,1131.077304,400686256.1,4278.114917,3774.927379,503.1875381,1700.568524,2074.358855,674.1566154,2246.411389,253.4360967,2216.433231,3774.927379,1502.645647,745.8433974,1925.059582,1811.370368,1614.094092,1087.773425,51088.33558,106144.0965
Four Mile Run (piezo),3,MetroCount Piezoelectric,7869.301176,55.25471577,22.99410496,32.26061081,5633.763558,1098.902624,409150507.3,4324.250532,3841.236323,483.0142092,1799.024903,2042.211419,666.96762,2296.276191,240.4384044,2267.969942,3841.236323,1479.150385,752.0427957,1996.757685,1853.618385,1521.446297,1012.80506,51993.24541,106515.3177
TR Island Bridge,12,Eco-Counter Multi,8078.564757,123.3798584,110.3397546,13.04010383,5638.649346,1792.516622,631096260.4,4874.030707,3977.982487,896.0482196,1613.433995,2364.548492,755.5229541,2569.36319,996.0069442,2019.540304,3977.982487,1652.678892,354.2728764,2392.578342,2862.578907,1911.573478,1240.791186,78119.84917,158647.3199
