Date,Holiday,Likely abnormal,OPM Closure,Other events
01/01/2009,TRUE,,,
02/01/2009,,TRUE,,
19/01/2009,TRUE,,,
28/01/2009,,,Unscheduled Leave,
16/02/2009,TRUE,,,
02/03/2009,,,Delayed Arrival/Unscheduled Leave,
25/05/2009,TRUE,,,
22/06/2009,,TRUE,,Red Line derailment
23/06/2009,,TRUE,,Red Line derailment
03/07/2009,TRUE,,,
07/09/2009,TRUE,,,
12/10/2009,TRUE,,,
11/11/2009,TRUE,,,
21/11/2009,,TRUE,,
22/11/2009,,TRUE,,
23/11/2009,,TRUE,,
24/11/2009,,TRUE,,
25/11/2009,,TRUE,,
26/11/2009,TRUE,,,
27/11/2009,,TRUE,,
28/11/2009,,TRUE,,
29/11/2009,,TRUE,,
19/12/2009,,TRUE,,Snowstorm
20/12/2009,,TRUE,,Snowstorm
21/12/2009,,,Closed,Snowstorm
22/12/2009,,,Unscheduled Leave,Snowstorm
25/12/2009,TRUE,,,
26/12/2009,,TRUE,,
27/12/2009,,TRUE,,
28/12/2009,,TRUE,,
29/12/2009,,TRUE,,
30/12/2009,,TRUE,,
31/12/2009,,TRUE,Unscheduled Leave,
01/01/2010,TRUE,,,
02/01/2010,,TRUE,,
03/01/2010,,TRUE,,
18/01/2010,TRUE,,,
03/02/2010,,,Unscheduled Leave,
05/02/2010,,,Unscheduled Leave/Early Dismissal,Snowstorm
06/02/2010,,TRUE,,Snowstorm
07/02/2010,,TRUE,,Snowstorm
08/02/2010,,,Closed,Snowstorm
09/02/2010,,,Closed,Snowstorm
10/02/2010,,,Closed,Snowstorm
11/02/2010,,,Closed,Snowstorm
12/02/2010,,,Delayed Arrival/Unscheduled Leave,Snowstorm
15/02/2010,TRUE,,,
16/02/2010,,,Delayed Arrival/Unscheduled Leave,
11/04/2010,,TRUE,,Nuclear Summit
31/05/2010,TRUE,,,
05/07/2010,TRUE,,,
06/09/2010,TRUE,,,
11/10/2010,TRUE,,,
11/11/2010,TRUE,,,
12/11/2010,,TRUE,,
20/11/2010,,TRUE,,
21/11/2010,,TRUE,,
22/11/2010,,TRUE,,
23/11/2010,,TRUE,,
24/11/2010,,TRUE,,
25/11/2010,TRUE,,,
26/11/2010,,TRUE,,
27/11/2010,,TRUE,,
28/11/2010,,TRUE,,
16/12/2010,,,Unscheduled Leave,
24/12/2010,TRUE,,,
25/12/2010,,TRUE,,
26/12/2010,,TRUE,,
27/12/2010,,TRUE,,
28/12/2010,,TRUE,,
29/12/2010,,TRUE,,
30/12/2010,,TRUE,,
31/12/2010,TRUE,,,
01/01/2011,,TRUE,,
02/01/2011,,TRUE,,
17/01/2011,TRUE,,,
18/01/2011,,,Delayed Arrival/Unscheduled Leave,
26/01/2011,,,Early Dismissal,
27/01/2011,,,Delayed Arrival/Unscheduled Leave,
01/02/2011,,,Unscheduled Leave,
02/02/2011,,,Unscheduled Leave,
21/02/2011,TRUE,,,
22/02/2011,,,Unscheduled Leave,
30/05/2011,TRUE,,,
04/07/2011,TRUE,,,
23/08/2011,,,Early Dismissal,Earthquake
24/08/2011,,,Unscheduled Leave,Earthquake
27/08/2011,,TRUE,,Hurricane Irene
28/08/2011,,TRUE,,Hurricane Irene
29/08/2011,,,Unscheduled Leave,Hurricane Irene
05/09/2011,TRUE,,,
09/09/2011,,,Unscheduled Leave,
10/10/2011,TRUE,,,
11/11/2011,TRUE,,,
19/11/2011,,TRUE,,
20/11/2011,,TRUE,,
21/11/2011,,TRUE,,
22/11/2011,,TRUE,,
23/11/2011,,TRUE,,
24/11/2011,TRUE,,,
25/11/2011,,TRUE,,
26/11/2011,,TRUE,,
27/11/2011,,TRUE,,
24/12/2011,,TRUE,,
25/12/2011,,TRUE,,
26/12/2011,TRUE,,,
27/12/2011,,TRUE,,
28/12/2011,,TRUE,,
29/12/2011,,TRUE,,
30/12/2011,,TRUE,,
31/12/2011,,TRUE,,
01/01/2012,,TRUE,,
02/01/2012,TRUE,,,
16/01/2012,TRUE,,,
23/01/2012,,,Delayed Arrival/Unscheduled Leave,
08/02/2012,,,Unscheduled Leave,
20/02/2012,TRUE,,,
28/05/2012,TRUE,,,
29/06/2012,,TRUE,,Derecho
30/06/2012,,TRUE,,Derecho
01/07/2012,,TRUE,,Derecho
02/07/2012,,,Unscheduled Leave,Derecho
03/07/2012,,,Unscheduled Leave,Derecho
04/07/2012,TRUE,,,
05/07/2012,,,Unscheduled Leave,Derecho
06/07/2012,,TRUE,,Derecho
03/09/2012,TRUE,,,
08/10/2012,TRUE,,,
29/10/2012,,,Closed,Hurricane Sandy
30/10/2012,,,Closed,Hurricane Sandy
31/10/2012,,,Unscheduled Leave,Hurricane Sandy
12/11/2012,TRUE,,,
17/11/2012,,TRUE,,
18/11/2012,,TRUE,,
19/11/2012,,TRUE,,
20/11/2012,,TRUE,,
21/11/2012,,TRUE,,
22/11/2012,TRUE,,,
23/11/2012,,TRUE,,
24/11/2012,,TRUE,,
25/11/2012,,TRUE,,
22/12/2012,,TRUE,,
23/12/2012,,TRUE,,
24/12/2012,,TRUE,,
25/12/2012,TRUE,,,
26/12/2012,,TRUE,,
27/12/2012,,TRUE,,
28/12/2012,,TRUE,,
29/12/2012,,TRUE,,
30/12/2012,,TRUE,,
31/12/2012,,TRUE,,
01/01/2013,TRUE,,,
03/01/2013,,,Unscheduled Leave,
17/01/2013,,,Unscheduled Leave,
21/01/2013,TRUE,,,
24/01/2013,,,Unscheduled Leave,
25/01/2013,,,Unscheduled Leave,
28/01/2013,,,Delayed Arrival/Unscheduled Leave,
18/02/2013,TRUE,,,
06/03/2013,,,Closed,
27/05/2013,TRUE,,,
13/06/2013,,,Unscheduled Leave,
04/07/2013,TRUE,,,
05/07/2013,,TRUE,,
02/09/2013,TRUE,,,
01/10/2013,,,Closed,Sequester
02/10/2013,,,Closed,Sequester
03/10/2013,,,Closed,Sequester
04/10/2013,,,Closed,Sequester
05/10/2013,,,Closed,Sequester
06/10/2013,,,Closed,Sequester
07/10/2013,,,Closed,Sequester
08/10/2013,,,Closed,Sequester
09/10/2013,,,Closed,Sequester
10/10/2013,,,Closed,Sequester
11/10/2013,,,Closed,Sequester
12/10/2013,,,Closed,Sequester
13/10/2013,,,Closed,Sequester
14/10/2013,TRUE,,Closed,Sequester
15/10/2013,,,Closed,Sequester
16/10/2013,,,Closed,Sequester
11/11/2013,TRUE,,,
23/11/2013,,TRUE,,
24/11/2013,,TRUE,,
25/11/2013,,TRUE,,
26/11/2013,,TRUE,Unscheduled Leave,
27/11/2013,,TRUE,,
28/11/2013,TRUE,,,
29/11/2013,,TRUE,,
30/11/2013,,TRUE,,
01/12/2013,,TRUE,,
08/12/2013,,TRUE,,snow
09/12/2013,,,Delayed Arrival/Unscheduled Leave,snow
10/12/2013,,,Closed,snow
21/12/2013,,TRUE,,
22/12/2013,,TRUE,,
23/12/2013,,TRUE,,
24/12/2013,,TRUE,,
25/12/2013,TRUE,,,
26/12/2013,,TRUE,,
