"","Date","cuts","Day","Weekend","Workday","Location","CounterID","Holiday","Likely.abnormal","OPM.Closure","Other.events","Total","PedIN","PedOUT","BikeIN","BikeOUT","PedTOTAL","BikeTOTAL","TotalOUT","TotalIN"
"1",2009-12-25,"[0,0.292)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",1,NA,NA,NA,NA,1,0,NA,NA
"2",2010-01-01,"[0,0.292)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",7,NA,NA,NA,NA,6,1,NA,NA
"3",2010-12-24,"[0,0.292)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",5,NA,NA,NA,NA,1,4,NA,NA
"4",2010-12-31,"[0,0.292)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",6,NA,NA,NA,NA,2,4,NA,NA
"5",2011-11-11,"[0,0.292)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",19,NA,NA,NA,NA,6,13,NA,NA
"6",2009-12-25,"[0.292,0.417)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",1,NA,NA,NA,NA,1,0,NA,NA
"7",2010-01-01,"[0.292,0.417)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",19,NA,NA,NA,NA,16,3,NA,NA
"8",2010-12-24,"[0.292,0.417)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",43,NA,NA,NA,NA,32,11,NA,NA
"9",2010-12-31,"[0.292,0.417)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",126,NA,NA,NA,NA,97,29,NA,NA
"10",2011-11-11,"[0.292,0.417)","Friday",FALSE,FALSE,"Custis_Rosslyn",1,TRUE,FALSE,"","",204,NA,NA,NA,NA,69,135,NA,NA
